,ID,Equation,Name,Superclass,Base class,React,Prod,ReactStr,ProdStr,AtomicRegulon,Pathway
174,PGMT,g1p_c <=> g6p_c,Phosphoglucomutase,D;D;DS,DS,D,D,S1;-1D2,D1,,
175,RHCCE,rhcys_c --> dhptd_c + hcys__L_c,S-ribosylhomocysteine cleavage enzyme,;U;DS,DS,,U,,S1,,
176,GALUi,g1p_c + h_c + utp_c --> ppi_c + udpg_c,UTP-glucose-1-phosphate uridylyltransferase (irreversible),D;D;DU,DU,D,D,D1;0S1;-1D1,0D1,,
177,U23GAAT,3hmrsACP_c + u3hga_c --> ACP_c + h_c + u23ga_c,UDP-3-O-(3-hydroxymyristoyl)glucosamine acyltransferase,U;U;SU,SU,U,U,-1U1;0U1;-2U2;-3U1;-4U1;-5U1;-6U1;-3S1;-7U1;-8U1;-3D1;-4D1;-4S1;-2D1;-2S1;-5D1;-5S1;-9U1;-10U1;-6S1;-11U1;-6D1;-7S1;-12U1;-7D1;-8S1;-13U1;-8D1;-9S1;-14U1;-9D1;-10S1;-15U1;-10D1;-11S1;-16U1;-11D1;-12S1;-17U1,-1U1;-1S1;0U1;-2U1;-3U1;-3S1;-4U1;-4S1;-5U1;-5S1;-6U1;-6S1;-7U1;-7S1;-3D1;-2D1;-4D1;-8U1;-8S1;-9U1;-9S1;-10U1;-10S1;-11U1;-11S1;-5D1;-12U1;-12S1;-6D1;-13U1;-13S1;-7D1;-14U1;-14S1;-8D1;-15U1;-15S1;-9D1;-16U1;-16S1,,
178,UAAGDS,26dap__M_c + atp_c + uamag_c --> adp_c + h_c + pi_c + ugmd_c,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelate synthetase",U;U;SU,SU,U,U,U1,0U1;0S1,,
179,UAMAS,ala__L_c + atp_c + uamr_c --> adp_c + h_c + pi_c + uama_c,UDP-N-acetylmuramoyl-L-alanine synthetase,U;U;SU,SU,U,U,U1;0U2;-1U2;-2U1;-3U1,0U2;-1U1;-2U1,,
180,UAMAGS,atp_c + glu__D_c + uama_c --> adp_c + h_c + pi_c + uamag_c,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase,U;U;SS,SS,U,U,0U4;-1U3;-2U2;-3U2;-4U1,0U2;-1U3;-1S2;-2U2;-2S1;-3U1;-3S1,,
181,P5CR,1pyr5c_c + 2.0 h_c + nadph_c --> nadp_c + pro__L_c,Pyrroline-5-carboxylate reductase,;U;SS,SS,,U,,U1,,
182,DHPPDA2,25drapp_c + h2o_c + h_c --> 5apru_c + nh4_c,Diaminohydroxyphosphoribosylaminopryrimidine deaminase (25drapp),U;U;SS,SS,U,U,-1U1;0U1;-1S1;-2U1;-3U1;-2S1;-4U1;-5U1;-6U1;-3D1;-2D1;-3S1;-7U1;-8U1;-4S1;-9U1;-4D1;-5S1;-10U1;-5D1;-6S1;-11U1;-6D1;-7S1;-12U1;-7D1;-8S1;-13U1;-8D1;-9S1;-14U1;-9D1;-10S1;-15U1,-1U1;0U1;-2S1;-2U1;-3S1;-3U1;-1S1;-4U1;-4S1;-5U1;-5S1;-2D1;-1D1;-6U1;-6S1;-7U1;-7S1;-8U1;-8S1;-9U1;-9S1;-3D1;-10U1;-10S1;-4D1;-11U1;-11S1;-5D1;-12U1;-12S1;-6D1;-13U1;-13S1;-7D1;-14U1;-14S1,,
183,G5SADs,glu5sa_c --> 1pyr5c_c + h2o_c + h_c,L-glutamate 5-semialdehyde dehydratase (spontaneous),;U;SS,SS,,U,,-1U1,,
184,ASP1DC,asp__L_c + h_c --> ala_B_c + co2_c,Aspartate 1-decarboxylase,U;U;SU,SU,U,U,U1;0U1,U1;0U1,,
185,UGMDDS,alaala_c + atp_c + ugmd_c --> adp_c + h_c + pi_c + ugmda_c,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine synthetase",U;U;SU,SU,U,U,U1;0U1,0U1;0S1,,
186,DBTS,atp_c + co2_c + dann_c --> adp_c + dtbt_c + 3.0 h_c + pi_c,Dethiobiotin synthase,U;U;SU,SU,U,U,0U1;-2U1;-1U1;-3U1;-4U1;-5U1;-6U1;-7U1;-8U1;-9U1;-4S1;-10U1;-3S1;-2S1,-1U2;-2U1;-3U1;-4U1;-5U1;-6U1;-5S1;-6S1;-7U1;-7S1;-8U1;-8S1;-4S1;-9U1;-9S1;-3S1;-2S1,,
187,UHGADA,h2o_c + u3aga_c --> ac_c + u3hga_c,UDP-3-O-acetylglucosamine deacetylase,U;U;SS,SS,U,U,0U1;-1U2;-2U2;-3U2;-4U2;-5U2;-6U2;-7U2;-2S1;-8U2;-4S1;-9U1;-4D1;-5D1;-5S1;-3D1;-3S1;-6D1;-6S1;-10U1;-11U1;-7S1;-12U1;-7D1;-8S1;-13U1;-8D1;-9S1;-14U1;-9D1;-10S1;-15U1;-10D1;-11S1;-16U1;-11D1;-12S1;-17U1;-12D1;-13S1;-18U1,0U1;-2S2;-1U2;-2U2;-3U2;-3S1;-4U2;-4S2;-5U2;-5S2;-6U2;-6S2;-7U2;-7S2;-8U1;-8S1;-4D1;-3D1;-5D1;-9U1;-9S1;-10U1;-10S1;-11U1;-11S1;-12U1;-12S1;-6D1;-13U1;-13S1;-7D1;-14U1;-14S1;-8D1;-15U1;-15S1;-9D1;-16U1;-16S1;-10D1;-17U1;-17S1,,
188,UAGAAT,3hmrsACP_c + uacgam_c <=> ACP_c + u3aga_c,UDP-N-acetylglucosamine acyltransferase,U;U;SS,SS,U,U,U1,0U1,,
189,ATPPRT,atp_c + prpp_c --> ppi_c + prbatp_c,ATP phosphoribosyltransferase,U;U;SS,SS,U,U,0U1;-1D1;-1U1;-2U1;-3U1;-4U1;-2S1;0S1,-1U1;-2U1;-2S1;-3U1;-3S1;0U1;-1S1;0S1,,
190,HISTD,h2o_c + histd_c + 2.0 nad_c --> 3.0 h_c + his__L_c + 2.0 nadh_c,Histidinol dehydrogenase,U;U;SS,SS,U,U,0U1;-1U5;-2U3;-3U3;-4U3;-5U3;0S1;-6U3;-1D4;-2S3;-1S5;-7U3;-2D3;-3S3;-8U3;-3D3;-4S3;-9U3;-4D3;-5S3;-10U3;-5D3;-6S3;-11U3;-6D2;-7S2;-12U2;-7D2;-8S2;-13U2;-8D2;-9S2;-14U2;-9D2;-10S2;-15U2;-10D2;-11S2;-16U2,0U1;-1U3;-1S3;-2U3;-2S3;-3U3;-3S3;-4U3;-4S3;0S1;-5U3;-5S3;-6U3;-6S3;-7U3;-7S3;-1D3;-8U3;-8S3;-2D3;-9U3;-9S3;-3D3;-10U3;-10S3;-4D2;-11U2;-11S2;-5D2;-12U2;-12S2;-6D2;-13U2;-13S2;-7D2;-14U2;-14S2;-8D2;-15U2;-15S2,,
191,DHDPS,aspsa_c + pyr_c --> 23dhdp_c + 2.0 h2o_c + h_c,Dihydrodipicolinate synthase,U;U;SS,SS,U,U,U1;0U4;-1U4;-2U4;-3U3;-4U2;-1S1;-5U1,0U5;-1U4;-1S3;-2U3;-2S3;-3U2;-3S2;-4U1;-4S1,,
192,G1PACT,accoa_c + gam1p_c --> acgam1p_c + coa_c + h_c,Glucosamine-1-phosphate N-acetyltransferase,U;U;SS,SS,U,U,0U2;-1U1;-2U1,-1S1;0U1;-1U2,,
193,GART,atp_c + for_c + gar_c --> adp_c + fgam_c + h_c + pi_c,GAR transformylase-T,U;U;SD,SD,U,U,0S1;0U2;-1U1;-2U1,-1S1;0U1;-1U1,,
194,GF6PTA,f6p_c + gln__L_c --> gam6p_c + glu__L_c,Glutamine-fructose-6-phosphate transaminase,U;U;SS,SS,U,U,S1;U1;-1U11;-2U5;-3U4;-4U4;0S1;-5U2;-6U1,U1;-1U9;-2U4;-2S4;-3U4;-3S4;0S1;-4U2;-4S2;-5U1;-5S1,,
195,IGPDH,eig3p_c --> h2o_c + imacp_c,Imidazoleglycerol-phosphate dehydratase,U;U;SS,SS,U,U,-1U3;-2U2;-3U2;-4U2;-5U2;-6U2;-1S2;-7U2;-2D2;-3S2;-2S2;-8U2;-3D2;-4S2;-9U2;-4D2;-5S2;-10U2;-5D2;-6S2;-11U2;-6D2;-7S2;-12U2;0U1,-1U3;-2U2;-2S2;-3U2;-3S2;-4U2;-4S2;-5U2;-5S2;-1S2;-6U2;-6S2;-7U2;-7S2;-8U2;-8S2;-2D2;-9U2;-9S2;-3D2;-10U2;-10S2;-4D2;-11U2;-11S2;0U1,,
196,EX_glyclt_e,glyclt_e --> ,Glycolate exchange,D;;US,US,D,,0D1,,,
197,PRPPS,atp_c + r5p_c <=> amp_c + h_c + prpp_c,Phosphoribosylpyrophosphate synthetase,U;U;SS,SS,U,U,U1;-1D1;-1U2;-2U1;-3U1;-4U1;-2S1;0S1,-1U1;-2U1;-2S1;-3U1;-3S1;0U1;-1S1;0S1,,
198,GLUCYS,atp_c + cys__L_c + glu__L_c --> adp_c + glucys_c + h_c + pi_c,Gamma-glutamylcysteine synthetase,U;U;DS,DS,U,U,U1;0U7;-1U5;-2U5;-3U5;-4U4;-5U3;0S2;-6U1,0U6;-1U5;-1S2;-2U5;-2S5;-3U4;-3S4;-4U3;-4S3;0S1;-5U1;-5S1,,
199,PRATPP,h2o_c + prbatp_c --> h_c + ppi_c + prbamp_c,Phosphoribosyl-ATP pyrophosphatase,U;U;SD,SD,U,U,0U1;-1D1;-1U1;-2U1;-3U1;-4U1;-2S1;0S1,-1U1;-2U1;-2S1;-3U1;-3S1;0U1;-1S1;0S1,,
200,PRMICI,prfp_c <=> prlp_c,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase,U;U;SS,SS,U,U,-1U1;-2U1;-3U1;-4U1;-5U1;-6U1;-7U1;-2S1;-8U1;-3D1;-4S1;-3S1;-9U1;-4D1;-5S1;-10U1;-5D1;-6S1;-11U1;-6D1;-7S1;-12U1;-7D1;-8S1;-13U1,-1U1;-2U1;-3U1;-3S1;-4U1;-4S1;-5U1;-5S1;-6U1;-6S1;-2S1;-7U1;-7S1;-8U1;-8S1;-9U1;-9S1;-3D1;-10U1;-10S1;-4D1;-11U1;-11S1;-5D1;-12U1;-12S1,,
201,GLUPRT,gln__L_c + h2o_c + prpp_c --> glu__L_c + ppi_c + pram_c,Glutamine phosphoribosyldiphosphate amidotransferase,U;U;SD,SD,U,U,U1;-1U14;-2U7;-3U6;-4U6;-5U3;-6U2;0U1;-1D1;-2S1;0S1;-1S1;-7U1,U1;-1U11;-2U6;-2S6;-3U6;-3S6;-4U3;-4S3;-5U2;-5S2;0U1;-1S2;0S1;-6U1;-6S1,,
202,SERAT,accoa_c + ser__L_c <=> acser_c + coa_c,Serine O-acetyltransferase,U;U;SS,SS,U,U,U1;0U2;-1U1;-2U1,-1S1;0U1;-1U1,,
203,CYSS,acser_c + h2s_c --> ac_c + cys__L_c + h_c,Cysteine synthase,U;U;SU,SU,U,U,-1U3;-2U2;-3U1;-4U1;-5U1;-6U1;-1S1;-7U1;0U2,-1U2;-2U1;-2S1;-3U1;-3S1;-4U1;-4S1;-5U1;-5S1;-1S2;-6U1;-6S1;0U1,,
204,NADS1,atp_c + dnad_c + nh4_c --> amp_c + h_c + nad_c + ppi_c,NAD synthase (nh3),U;U;SU,SU,U,U,-1U4;-1S4;-2U3;-3U3;-4U3;-5U3;-6U3;-2D3;-1D3;-7U3;-3S3;-2S3;-8U3;-3D3;-4S3;-9U3;-4D3;-5S3;-10U3;-5D3;-6S3;-11U3;-6D3;-7S3;-12U3;-7D3;-8S3;-13U3;-8D3;-9S3;-14U3;-9D3;-10S3;-15U3;-10D3;-11S3;-16U3;-11D1;-12S1;-17U1,-1U2;-2U3;-2S3;-3U3;-3S3;-4U3;-4S3;-5U3;-5S3;-1S2;-6U3;-6S3;-7U3;-7S3;-8U3;-8S3;-1D2;-2D3;-9U3;-9S3;-3D3;-10U3;-10S3;-4D3;-11U3;-11S3;-5D3;-12U3;-12S3;-6D3;-13U3;-13S3;-7D3;-14U3;-14S3;-8D3;-15U3;-15S3;-9D1;-16U1;-16S1,,
205,BPNT,h2o_c + pap_c --> amp_c + pi_c,"3',5'-bisphosphate nucleotidase",U;U;SS,SS,U,U,-3U1;-4U1;-5U1;-6U1;-7U1;-8U1;-3S1;-9U1;-2U1,-3U1;-4U1;-4S1;-5U1;-5S1;-6U1;-6S1;-7U1;-7S1;-3S1;-8U1;-8S1;-2U1,,
206,PAPSR,paps_c + trdrd_c --> 2.0 h_c + pap_c + so3_c + trdox_c,Phosphoadenylyl-sulfate reductase (thioredoxin),U;U;SU,SU,U,U,-3U1;-4U1;-5U1;-6U1;-7U1;-8U1;-3S1;-9U1;-2U1,-3U1;-4U1;-4S1;-5U1;-5S1;-6U1;-6S1;-7U1;-7S1;-3S1;-8U1;-8S1;-2U1,,
207,ASPK,asp__L_c + atp_c <=> 4pasp_c + adp_c,Aspartate kinase,U;U;SS,SS,U,U,U1;0U1,0U1,,
208,ASAD,aspsa_c + nadp_c + pi_c <=> 4pasp_c + h_c + nadph_c,Aspartate-semialdehyde dehydrogenase,U;U;SS,SS,U,U,-1U2;-2U1;-3U1;-4U1;-5U1;-2S1;-6U1;0U2,-1U1;-2U1;-2S1;-3U1;-3S1;-4U1;-4S1;-5U1;-5S1;0U1,,
209,DAPDC,26dap__M_c + h_c --> co2_c + lys__L_c,Diaminopimelate decarboxylase,U;U;SD,SD,U,U,U1,S1;0U1;0S1,,
210,OCBT,cbp_c + orn_c <=> citr__L_c + h_c + pi_c,Ornithine carbamoyltransferase,U;U;SD,SD,U,U,U1;-1U2;0U1,-1U1;0U1,,
211,GARFT,10fthf_c + gar_c <=> fgam_c + h_c + thf_c,Phosphoribosylglycinamide formyltransferase,U;U;SD,SD,U,U,-1U1,-1U1;-2U1,,
212,PHETA1,akg_c + phe__L_c <=> glu__L_c + phpyr_c,Phenylalanine transaminase,U;U;SU,SU,U,U,U1;S1;0U9;-1U8;-2U7;-3U7;-4U6;-5U5;0S3;-6U2;-1D1;-2S1;-1S1;-7U1,U2;0U8;-1U8;-1S3;-2U7;-2S7;-3U6;-3S6;-4U5;-4S5;0S3;-5U2;-5S2;-6U1;-6S1,,
213,PPND,nad_c + pphn_c --> 34hpp_c + co2_c + nadh_c,Prephenate dehydrogenase,U;U;SD,SD,U,U,-1U3;-2U2;-3U2;-4U2;-5U1;-6U1;-1S1;-7U1;-2D1;-3S1;-2S1;-8U1;-3D1;-4S1;-9U1;-4D1;-5S1;-10U1;-5D1;-6S1;-11U1;-6D1;-7S1;-12U1;0U1,-1U3;-2U2;-2S2;-3U2;-3S2;-4U1;-4S1;-5U1;-5S1;-1S2;-6U1;-6S1;-7U1;-7S1;-8U1;-8S1;-2D1;-9U1;-9S1;-3D1;-10U1;-10S1;-4D1;-11U1;-11S1,,
214,METAT,atp_c + h2o_c + met__L_c --> amet_c + pi_c + ppi_c,Methionine adenosyltransferase,U;;DU,DU,U,,U1,,,
215,PRAMPC,h2o_c + prbamp_c --> prfp_c,Phosphoribosyl-AMP cyclohydrolase,U;U;SD,SD,U,U,0U1;-1D1;-1U1;-2U2;-3U2;-4U2;-2S1;0S1;-5U1;-6U1;-7U1;-8U1;-3S1;-9U1;-4D1;-5S1;-4S1;-10U1;-5D1;-6S1;-11U1;-6D1;-7S1;-12U1;-7D1;-8S1;-13U1;-8D1;-9S1;-14U1,-1U1;-2U2;-2S1;-3U2;-3S2;0U1;-1S1;0S1;-4U1;-4S1;-5U1;-5S1;-6U1;-6S1;-7U1;-7S1;-8U1;-8S1;-9U1;-9S1;-10U1;-10S1;-4D1;-11U1;-11S1;-5D1;-12U1;-12S1;-6D1;-13U1;-13S1,,
216,TMPK,atp_c + thmmp_c --> adp_c + thmpp_c,Thiamine-phosphate kinase,U;U;SD,SD,U,U,-1U5;-1S5;-2U3;-3U3;-4U3;-5U3;-6U3;-2D3;-1D4;-7U3;-3S3;-2S3;-8U3;-3D3;-4S3;-9U3;-4D3;-5S3;-10U3;-5D3;-6S3;-11U3;-6D2;-7S2;-12U2;-7D2;-8S2;-13U2;-8D2;-9S2;-14U2;-9D2;-10S2;-15U2;-10D2;-11S2;-16U2;0U1;0S1,-1U3;-2U3;-2S3;-3U3;-3S3;-4U3;-4S3;-5U3;-5S3;-1S3;-6U3;-6S3;-7U3;-7S3;-8U3;-8S3;-1D3;-2D3;-9U3;-9S3;-3D3;-10U3;-10S3;-4D2;-11U2;-11S2;-5D2;-12U2;-12S2;-6D2;-13U2;-13S2;-7D2;-14U2;-14S2;-8D2;-15U2;-15S2;0U1;0S1,,
217,ACOTA,acorn_c + akg_c <=> acg5sa_c + glu__L_c,Acetylornithine transaminase,U;U;SS,SS,U,U,U1;0U9;-1U9;-2U7;-3U7;-4U6;-5U5;0S3;-6U2;-1D1;-2S1;-1S1;-7U1,U2;0U8;-1U9;-1S3;-2U7;-2S7;-3U6;-3S6;-4U5;-4S5;0S2;-5U2;-5S2;-6U1;-6S1,,
218,PDX5PS,dxyl5p_c + nad_c + phthr_c --> co2_c + 2.0 h2o_c + h_c + nadh_c + pdx5p_c + pi_c,Pyridoxine 5'-phosphate synthase,U;U;SD,SD,U,U,0U2;-1U1;-2U1;-3U1;0S1;-4U1,0U1;-1U1;-1S1;-2U1;-2S1;0S1;-3U1;-3S1,,
219,PPBNGS,2.0 5aop_c --> 2.0 h2o_c + h_c + ppbng_c,Porphobilinogen synthase,U;U;SS,SS,U,U,-1U1;-2U1;-3U1;-4U1;0U1,-1U1;-2U1;-2S1;-3U1;-3S1;0U1;-1S1,,
220,ENTCS,3.0 23dhba_c + 3.0 seramp_c --> 6.0 amp_c + enter_c + 9.0 h_c,Enterochelin synthase,U;U;DS,DS,U,U,0U1;-1U2;-1S2;-1D2;-2U1;-3U1;-4U1;-5U1;-6U1;-2D1;-7U1;-3S1;-2S1;-8U1;-3D1;-4S1;-9U1;-4D1;-5S1;-10U1;-5D1;-6S1;-11U1;-6D1;-7S1;-12U1;-7D1;-8S1;-13U1;-8D1;-9S1;-14U1;-9D1;-10S1;-15U1;-10D1;-11S1;-16U1,-1U1;-2S1;-2U1;-3U1;-3S1;-4U1;-4S1;-1D1;-5U1;-5S1;-1S1;-6U1;-6S1;-7U1;-7S1;-8U1;-8S1;-2D1;-9U1;-9S1;-3D1;-10U1;-10S1;-4D1;-11U1;-11S1;-5D1;-12U1;-12S1;-6D1;-13U1;-13S1;-7D1;-14U1;-14S1;-8D1;-15U1;-15S1,,
221,SULR,5.0 h_c + 3.0 nadph_c + so3_c --> 3.0 h2o_c + h2s_c + 3.0 nadp_c,Sulfite reductase (NADPH2),U;U;SU,SU,U,U,-2U1;-3U1;-4U1;-5U1;-6U1;-7U1;-2S1;-8U1;-1U1,-2U1;-3U1;-3S1;-4U1;-4S1;-5U1;-5S1;-6U1;-6S1;-2S1;-7U1;-7S1;-1U1,,
222,PPNCL2,4ppan_c + ctp_c + cys__L_c --> 4ppcys_c + cmp_c + h_c + ppi_c,Phosphopantothenate-cysteine ligase,U;U;SS,SS,U,U,0U3;-1U2;-2U2;-3U2;-4U2;-5U2;-6U1;-1S1;-7U1,0U2;-1U2;-2U2;-2S2;-3U2;-3S2;-4U2;-4S2;-5U1;-5S1;-1S1;-6U1;-6S1,,
223,PRAGSr,atp_c + gly_c + pram_c <=> adp_c + gar_c + h_c + pi_c,Phosphoribosylglycinamide synthase,U;U;SD,SD,U,U,U1;0U3;-1S2;-1U2;-2U3;-3U2;-4U1;-5U1;-6U1;-1D1;-2S1;0S1;-7U1,0U3;-1U3;-2S2;-2U3;-3U2;-3S1;-4U1;-4S1;-5U1;-5S1;-1S1;0S1;-6U1;-6S1,,
224,PRFGS,atp_c + fgam_c + gln__L_c + h2o_c --> adp_c + fpram_c + glu__L_c + h_c + pi_c,Phosphoribosylformylglycinamidine synthase,U;U;SD,SD,U,U,U1;-1U19;-2U9;-3U7;-4U7;-5U5;-6U4;0S1;0U1;-1S4;-7U3;-2D2;-3S2;-2S2;-8U2,U1;-1U16;-2U8;-2S7;-3U7;-3S7;-4U5;-4S5;-5U4;-5S4;-1S4;0U1;-6U3;-6S3;-7U2;-7S2,,
225,NNATr,atp_c + h_c + nicrnt_c <=> dnad_c + ppi_c,Nicotinate-nucleotide adenylyltransferase,U;U;SU,SU,U,U,0U1;-1D1;-1U1;-2U2;-3U2;-4U2;-2S2;0S1;0D1;-5U1;-6U1;-7U1;-3D1;-2D1;-8U1;-4S1;-3S1;-9U1;-4D1;-5S1;-10U1;-5D1;-6S1;-11U1;-6D1;-7S1;-12U1;-7D1;-8S1;-13U1;-8D1;-9S1;-14U1;-9D1;-10S1;-15U1;-10D1;-11S1;-16U1;-11D1;-12S1;-17U1;-12D1;-13S1;-18U1,-1U1;-2U2;-2S2;-3U2;-3S2;0U1;-1S1;0S1;0D1;-1D1;-4U1;-4S1;-5U1;-5S1;-6U1;-6S1;-7U1;-7S1;-8U1;-8S1;-9U1;-9S1;-2D1;-3D1;-10U1;-10S1;-4D1;-11U1;-11S1;-5D1;-12U1;-12S1;-6D1;-13U1;-13S1;-7D1;-14U1;-14S1;-8D1;-15U1;-15S1;-9D1;-16U1;-16S1;-10D1;-17U1;-17S1,,
226,PSERT,3php_c + glu__L_c --> akg_c + pser__L_c,Phosphoserine transaminase,U;U;SS,SS,U,U,U1;0U11;-1U9;-2U8;-3U8;-4U7;-5U6;0S4;-6U3;-1D1;-2S2;-1S2;-7U2;-2D1;-3S1;-8U1,U1;0U10;-1U9;-1S4;-2U8;-2S8;-3U7;-3S7;-4U6;-4S6;0S2;-5U3;-5S3;-6U2;-6S2;-7U1;-7S1,,
227,AIRC2,air_c + atp_c + hco3_c --> 5caiz_c + adp_c + h_c + pi_c,Phosphoribosylaminoimidazole carboxylase,U;U;SD,SD,U,U,0U1;-1U2;-2U3;-3U2;-4U2;-5U2;-6U2;0S1;-1S1;-7U2;-2D1;-3S2;-2S2;-8U2;-3D1;-4S1;-9U1;-4D1;-5S1;-10U1,0U1;-1U2;-2U3;-2S2;-3U2;-3S2;-4U2;-4S2;-5U2;-5S2;-1S1;-6U2;-6S2;-7U2;-7S2;-2D1;-8U1;-8S1;-9U1;-9S1;-3D1,,
228,GAPD,g3p_c + nad_c + pi_c <=> 13dpg_c + h_c + nadh_c,Glyceraldehyde-3-phosphate dehydrogenase,U;U;SS,SS,U,U,0S2;-1U1;-2U1;-3S1;-1S1;-3U1;-4U1;-5U1,0S1;-1U1;-2S1;-1S1;-2U1;-3U1;-3S1;-4U1;-4S1,,
229,DM_amob_c,amob_c --> ,Sink needed to allow S-Adenosyl-4-methylthio-2-oxobutanoate to leave system,U;;SS,SS,U,,0U1,,,
230,MOAT2,ckdo_c + kdolipid4_c --> cmp_c + h_c + kdo2lipid4_c,3-deoxy-D-manno-octulosonic acid transferase,U;U;SU,SU,U,U,-1U3;-2U4;-3U4;-4U4;-5U3;-6U3;-7U3;-2S2;-8U3;0U1;0S1;-3S1;-9U1,-1U3;-2U4;-3U4;-3S4;-4U3;-4S3;-5U3;-5S3;-6U3;-6S3;-2S3;-7U3;-7S3;0U1;-8U1;-8S1,,
231,ARGSL,argsuc_c <=> arg__L_c + fum_c,Argininosuccinate lyase,U;D;SD,SD,U,D,-1D1;-2S1;-3U1;0U2,D1;-1S1;-1D1;-3S1;-3U1;0U1,,
232,CBPS,2.0 atp_c + gln__L_c + h2o_c + hco3_c --> 2.0 adp_c + cbp_c + glu__L_c + 2.0 h_c + pi_c,Carbamoyl-phosphate synthase (glutamine-hydrolysing),U;U;SD,SD,U,U,U1;-1U23;-2U10;-3U8;-4U8;-5U6;-2D4;-6U5;-1S5;-7U4;-3S3;-2S3;-8U3;-3D1;-4S1;-9U1,U1;-1U18;-2U9;-2S8;-3U8;-3S8;-4U6;-4S6;-1D1;-5U5;-5S5;-1S4;-6U4;-6S4;-7U3;-7S3;-8U1;-8S1,,
233,GLU5K,atp_c + glu__L_c --> adp_c + glu5p_c,Glutamate 5-kinase,U;U;SU,SU,U,U,U1;0U12;-1U8;-2U8;-3U8;-4U7;-5U6;0S4;-6U4;-1D1;-2S3;-1S3;-7U3;-2D2;-3S2;-8U2;-3D1;-4S1;-9U1,0U11;-1U8;-1S5;-2U8;-2S8;-3U7;-3S7;-4U6;-4S6;0S2;-5U4;-5S4;-6U3;-6S3;-7U2;-7S2;-1D1;-8U1;-8S1,,
234,IPPS,3mob_c + accoa_c + h2o_c --> 3c3hmp_c + coa_c + h_c,2-isopropylmalate synthase,U;U;SU,SU,U,U,-1D1;0U2;-1U1;-2U1,D1;-1S1;0U1;-1U1,,
235,EX_mg2_e,mg2_e <=> ,Mg exchange,U;U;SS,SS,U,U,-3U1;-3S1;-4U1;-5U1;-6U1;-7U1;-8U1;-4D1;-3D1;-9U1;-5S1;-4S1;-10U1;-5D1;-6S1;-11U1;-6D1;-7S1;-12U1;-7D1;-8S1;-13U1;-8D1;-9S1;-14U1;-9D1;-10S1;-15U1;-10D1;-11S1;-16U1;-11D1;-12S1;-17U1;-12D1;-13S1;-18U1,-3U1;-4U1;-4S1;-5U1;-5S1;-6U1;-6S1;-7U1;-7S1;-3S1;-8U1;-8S1;-9U1;-9S1;-10U1;-10S1;-3D1;-4D1;-11U1;-11S1;-5D1;-12U1;-12S1;-6D1;-13U1;-13S1;-7D1;-14U1;-14S1;-8D1;-15U1;-15S1;-9D1;-16U1;-16S1;-10D1;-17U1;-17S1,,
236,ACOATA,ACP_c + accoa_c <=> acACP_c + coa_c,Acetyl-CoA ACP transacylase,U;U;SS,SS,U,U,0U2;-1U1;-2U1,-1S1;0U1;-1U1,,
237,MOHMT,3mob_c + h2o_c + mlthf_c --> 2dhp_c + thf_c,3-methyl-2-oxobutanoate hydroxymethyltransferase,U;U;SS,SS,U,U,-1U1;0U1,-1U2;-2U1;0U1,,
238,EX_cbl1_e,cbl1_e <=> ,Cob(I)alamin exchange,U;U;DS,DS,U,U,-4U1;-4S1;-4D1;-5U1;-6U1;-7U1;-8U1;-9U1;-5D1;-10U1;-6S1;-5S1;-11U1;-6D1;-7S1;-12U1;-7D1;-8S1;-13U1;-8D1;-9S1;-14U1;-9D1;-10S1;-15U1;-10D1;-11S1;-16U1;-11D1;-12S1;-17U1;-12D1;-13S1;-18U1;-13D1;-14S1;-19U1,-4U1;-5S1;-5U1;-6U1;-6S1;-7U1;-7S1;-4D1;-8U1;-8S1;-4S1;-9U1;-9S1;-10U1;-10S1;-11U1;-11S1;-5D1;-12U1;-12S1;-6D1;-13U1;-13S1;-7D1;-14U1;-14S1;-8D1;-15U1;-15S1;-9D1;-16U1;-16S1;-10D1;-17U1;-17S1;-11D1;-18U1;-18S1,,
239,AHCYSNS,ahcys_c + h2o_c --> ade_c + rhcys_c,S-adenosylhomocysteine nucleosidase,U;U;DS,DS,U,U,-1U2,U1;-1U1;-1S1,,
240,GMPS,atp_c + nh4_c + xmp_c --> amp_c + gmp_c + 2.0 h_c + ppi_c,GMP synthase,U;U;SD,SD,U,U,-3U2;-2U2;-1U1;0U1;-4U1;-5U1;-6U1;-1S1;-7U1;-2D1;-3S1;-2S1;-8U1;-3D1;-4S1;-9U1;-4D1;-5S1;-10U1;-5D1;-6S1;-11U1;-6D1;-7S1;-12U1,-3U2;-2U2;-1U1;0D1;0U1;-2S1;-3S1;-4U1;-4S1;-5U1;-5S1;-1S1;-6U1;-6S1;-7U1;-7S1;-8U1;-8S1;-2D1;-9U1;-9S1;-3D1;-10U1;-10S1;-4D1;-11U1;-11S1,,
241,SERASr,atp_c + h_c + ser__L_c <=> ppi_c + seramp_c,(L-seryl)adenylate synthase,U;;DS,DS,U,,U1,,,
